Wort;mentions_word;Bereich;SearchCluster;Notes;Region
mitmensch;247;Sonst.;;;
nutztierhalt;247;Innenpolitik;Landwirtschaft;;
atomrecht;247;Außenpolitik;Umwelt/Natur/Klima;Energie;
arzneimittelgesetz;247;Innenpolitik;;;
umweltrecht;246;Außenpolitik;Umwelt/Natur/Klima;;
behindertenpolit;246;Sonst.;;;
frauenpolit;246;Sonst.;;;
zwangsprostitution;246;Sonst.;;;
zwangsarbeit;246;Sonst.;;;
waffenschmuggel;245;Außenpolitik;Sicherheit;;
stungsexportpolit;244;Außenpolitik;Sicherheit;;
minijobb;243;Innenpolitik;;;
euratom;242;Außenpolitik;Umwelt/Natur/Klima;Energie;
orban;242;Außenpolitik;Außenbeziehung;Land/Region;Ungarn
emirat;241;Außenpolitik;Außenbeziehung;Land/Region;VAE
schwedisch;241;Außenpolitik;Außenbeziehung;Land/Region;Schweden
einwanderungsland;241;Außenpolitik;Migration;;
ozean;241;Außenpolitik;Umwelt/Natur/Klima;;
jordan;238;Außenpolitik;Außenbeziehung;Land/Region;Jordanien
asylpolit;237;Außenpolitik;Migration;;
isaf-mandat;237;Außenpolitik;Sicherheit;;
lieferkettengesetz;237;Innenpolitik;;;
rentenbeitr;236;Innenpolitik;;;
bologna-prozess;236;Innenpolitik;;;
klimas;235;Außenpolitik;Umwelt/Natur/Klima;;
mitspracherecht;234;Sonst.;;;
mittelmeerraum;234;Außenpolitik;Migration;;
agrarwirtschaft;234;Innenpolitik;;;
baltisch;233;Außenpolitik;Außenbeziehung;Land/Region;Baltische Staaten
radikalisier;233;Sonst.;;;
bundeswaldgesetz;232;Außenpolitik;Umwelt/Natur/Klima;;
energiebedarf;232;Außenpolitik;Umwelt/Natur/Klima;Energie;
breitband;231;Innenpolitik;;;
kriegsgefang;230;Außenpolitik;Sicherheit;;
gesundheitsgef;229;Innenpolitik;;;
lehrerausbild;229;Innenpolitik;;;
irakkrieg;226;Außenpolitik;Sicherheit;Land/Region;
reaktorsi-ch;226;Außenpolitik;Umwelt/Natur/Klima;Energie;
zugewandert;226;Außenpolitik;Migration;;
stromsteu;226;Außenpolitik;Umwelt/Natur/Klima;Energie;
insekt;224;Außenpolitik;Umwelt/Natur/Klima;;
grundrechtseingriff;224;Innenpolitik;;;
parallelgesellschaft;224;Außenpolitik;Migration;;
wirecard;224;Innenpolitik;;;
peru;224;Außenpolitik;Außenbeziehung;Land/Region;Peru
argentini;223;Außenpolitik;Außenbeziehung;Land/Region;Argentinien
analphabet;222;Innenpolitik;;;
teheran;222;Außenpolitik;Außenbeziehung;Land/Region;Iran
kriminalisier;221;Innenpolitik;;;
sed-diktatur;221;Sonst.;;;
gentechnikgesetz;219;Innenpolitik;Landwirtschaft;;
arbeitsmarktreform;218;Innenpolitik;;;
integrationsplan;218;Außenpolitik;Migration;;
kohlendioxid;218;Außenpolitik;Umwelt/Natur/Klima;;
karib;217;Außenpolitik;Außenbeziehung;Land/Region;Karibik
pflegebegriff;217;Innenpolitik;;;
atomstrom;217;Außenpolitik;Umwelt/Natur/Klima;Energie;
massentierhalt;217;Innenpolitik;;;
ehegattennachzug;217;Außenpolitik;Migration;;
modernisierungsumlag;217;Innenpolitik;;;
vergewaltigt;217;Sonst.;;;
einsparpotenzial;217;Innenpolitik;;;
marokkan;216;Außenpolitik;Außenbeziehung;Land/Region;Marokko
zivildienstleist;216;Innenpolitik;;;
familienleist;216;Innenpolitik;;;
lateinamerikan;215;Außenpolitik;Außenbeziehung;Land/Region;Lateinamerika
mutterschutz;215;Innenpolitik;;;
schutzgebiet;215;Außenpolitik;Umwelt/Natur/Klima;;
euro-grupp;215;Außenpolitik;Finanzkrise;;
diskrimini;214;Sonst.;;;
tibet;214;Außenpolitik;Außenbeziehung;Land/Region;Tibet
malta;213;Außenpolitik;Außenbeziehung;Land/Region;Malta
stammzellgesetz;213;Innenpolitik;;;
sparma;213;Innenpolitik;;;
ghana;212;Außenpolitik;Außenbeziehung;Land/Region;Ghana
schusswaff;212;Außenpolitik;Sicherheit;;
epidemi;212;Innenpolitik;;;
parlamentsbeteiligungsgesetz;212;Innenpolitik;;;
polizeikr;212;Innenpolitik;Sicherheit;;
kapitalertragsteu;211;Innenpolitik;;;
klimaschutzabkomm;211;Außenpolitik;Umwelt/Natur/Klima;;
menschengemacht;211;Außenpolitik;Umwelt/Natur/Klima;;
visum;211;Außenpolitik;Migration;;
kairo;210;Außenpolitik;Außenbeziehung;Land/Region;Ägypten
austerit;210;Außenpolitik;Finanzkrise;;
verpackungsverordn;210;Innenpolitik;;;
bundesvertriebenengesetz;210;Innenpolitik;;;
schwangerschaftsabbr;210;Innenpolitik;;;
infektionsgescheh;210;Außenpolitik;Corona;;
assad-regim;209;Außenpolitik;Außenbeziehung;Land/Region;Syrien
dieselfahrzeug;209;Außenpolitik;Umwelt/Natur/Klima;;
waffengesetz;209;Außenpolitik;Sicherheit;;
existenzgrundlag;209;Innenpolitik;;;
bahai;209;Sonst.;;;
atomwaffenfrei;209;Außenpolitik;Sicherheit;;
eurofight;209;Außenpolitik;Sicherheit;;
nichtverbreitungsvertrag;209;Außenpolitik;Sicherheit;;
untersuchungshaft;209;Innenpolitik;;;
sarkozy;209;Außenpolitik;Außenbeziehung;Land/Region;Frankreich
kasachstan;208;Außenpolitik;Außenbeziehung;Land/Region;Kasachstan
terroranschlag;208;Außenpolitik;Sicherheit;;
serb;208;Außenpolitik;Außenbeziehung;Land/Region;Serbien
wissenschaftspolit;208;Innenpolitik;;;
schlachth;208;Innenpolitik;;;
embryo;208;Innenpolitik;;;
stromkost;208;Außenpolitik;Umwelt/Natur/Klima;Energie;
rentensystem;207;Innenpolitik;;;
istanbul-konvention;207;Sonst.;;;
biogasanlag;207;Außenpolitik;Umwelt/Natur/Klima;;
kriegsgebiet;207;Außenpolitik;Sicherheit;;
afghanistan-einsatz;207;Außenpolitik;Sicherheit;;
brasilian;206;Außenpolitik;Außenbeziehung;Land/Region;Brasilien
fotovolta;206;Außenpolitik;Umwelt/Natur/Klima;Energie;
bundes-immissionsschutzgesetz;206;Außenpolitik;Umwelt/Natur/Klima;;
risikogrupp;206;Außenpolitik;Corona;;
binnenfl;206;Außenpolitik;Migration;;
umweltzon;205;Außenpolitik;Umwelt/Natur/Klima;;
hindukusch;205;Außenpolitik;Sicherheit;Land/Region;
hochradioaktiv;205;Außenpolitik;Umwelt/Natur/Klima;;
bagdad;204;Außenpolitik;Außenbeziehung;Land/Region;Irak
homophobi;204;Sonst.;;;
klimaabkomm;204;Außenpolitik;Umwelt/Natur/Klima;;
klimaschutzma;204;Außenpolitik;Umwelt/Natur/Klima;;
